Nama Tempat,Jenis Tempat uc,Alamat,Jam Operasional,Rating,Jumlah Review,telepon,Ketersediaan Telepon,Website,Latitude,Longitude,Ketersediaan Akses,Aksesibilitas Difabel
Gereja GSJPDI Maranatha,Gereja,"Jl. Raya Bogor No.22, RT.2/RW.1, Tugu, Kec. Cimanggis, Kota Depok, Jawa Barat 16451",,"5,0",17,,Tidak Ada ,Tersedia,-6.3704836,106.8607544,Aksesibilitas Tersedia,[]
GBI S56B DEPOK,Gereja,"Jl. Siliwangi No.56B, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",,"4,9",7,,Tidak Ada ,Tersedia,-6.3989436,106.8258518,Aksesibilitas Tersedia,[]
Eklesia Ministry,Gereja,"JR2F+2QC, Jl. Siliwangi, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",Tutup,"4,6",9,,Ada,Tersedia,-6.3999255,106.8243776,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Gereja Toraja Jemaat Depok,Gereja Protestan,"Jl. Pemuda No.62A, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",,"4,7",68,"
(021) 77203164",Ada,Tersedia,-6.4029589,106.8236621,Aksesibilitas Tersedia,[]
GPdI El Roi Depok,Gereja,"Jl. Kartini No.34A, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",Tutup,"4,9",14,,Ada,Tersedia,-6.4034456,106.8198536,Aksesibilitas Tersedia,[]
Gereja Tiberias DTC,Gereja,"Depok Town Center, Jl. Raya Sawangan, Rangkapan Jaya, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16426",Tutup,"5,0",1,,Tidak Ada ,Tersedia,-6.3948805,106.7932422,Aksesibilitas Tersedia,[]
GPII Filadelfia Depok,Gereja,"Jl. Mawar No.20 B, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",,"5,0",7,,Tidak Ada ,Tidak Tersedia,-6.4009556,106.8244647,Aksesibilitas Tersedia,[]
Gereja GKPS Depok,Gereja Kristen,"JR8G+FWX, Jl. Kedondong II, Kemiri Muka, Kecamatan Beji, Kota Depok, Jawa Barat 16423",07.00 hingga 00.00,"4,5",48,,Tidak Ada ,Tersedia,-6.383764,106.8273703,Aksesibilitas Tersedia,[]
GPdI Betania Cimanggis,Gereja,"JVH4+WPW, Jl. Ambon, Tugu, Kec. Cimanggis, Kota Depok, Jawa Barat 16451",,"5,0",8,,Tidak Ada ,Tidak Tersedia,-6.3701348,106.856826,Aksesibilitas Tersedia,[]
GBI Mawar Saron Proklamasi Depok,Gereja,"Jl. Proklamasi No.13, RT.03/RW.023, Abadijaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16417",Tutup,"5,0",17,,Ada,Tersedia,-6.3907694,106.852432,Aksesibilitas Tersedia,[]
Gereja ONKP Depok,Gereja,"Jl. Jambu No.3, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",,"4,9",20,"
0812-8991-4464",Ada,Tersedia,-6.3973651,106.827124,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
Gereja Kerasulan Baru Depok,Gereja Kristen,"Jl. Nusa Indah No.14, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",,"4,9",10,,Tidak Ada ,Tersedia,-6.3989163,106.8266584,Aksesibilitas Tersedia,[]
Vihara Gayatri # 7 sumur,Vihara,"Jl. Vihara Gayatri Jalan, Cilangkap, Kec. Tapos, Kota Depok, Jawa Barat 16458",07.00 hingga 19.00,"4,8",405,"
0813-1676-7888",Ada,Tidak Tersedia,-6.4445736,106.8589527,Aksesibilitas Tersedia,"['Memiliki kursi khusus pengguna kursi roda', 'Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', ' Tidak dilengkapi dukungan instalasi bantu dengar']"
SINGGASANA 805 RYO MV-I,Vihara,"Jl. Perumahan Gema Pesona No.2 Blok Ae, RT.1/RW.11, Sukmajaya, Depok City, West Java 16412",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.410409,106.835899,Aksesibilitas Tersedia,[]
Vihara dunia satu keluarga,Vihara,"JR2F+67G, Jl. Cempaka, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",,"5,0",2,,Tidak Ada ,Tidak Tersedia,-6.3993275,106.8232005,Aksesibilitas Tersedia,[]
Vihara Avalokitesvara Pondok Cabe,Vihara,"Jl. Pd. Cabe Raya No.64, Pd. Cabe Udik, Kec. Pamulang, Kota Tangerang Selatan, Banten 15148",07.00 hingga 19.00,"4,8",159,,Ada,Tersedia,-6.3465393,106.7568796,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
Situs Cagar Budaya Sumur 7 ke 1,Bangunan Bersejarah,"Jl. Keramat Jaya I No.19B, RT.1/RW.12, Beji, Kecamatan Beji, Kota Depok, Jawa Barat 16421",Buka 24 jam,"4,8",133,"
0821-6210-2812",Ada,Tidak Tersedia,-6.3883456,106.8128284,Aksesibilitas Tersedia,[]
Hong Mi Fothang,Vihara,"JQ4X+3W7, Jl. Raya Sawangan, Mampang, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16433",,,,,Tidak Ada ,Tidak Tersedia,-6.3948452,106.7997962,Aksesibilitas Tersedia,[]
Cetiya Dhammajala Depok,Vihara,"Jl. Dewi Sartika No.8 Blok E, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431",Tutup,"4,3",31,,Ada,Tersedia,-6.400383,106.8178242,Aksesibilitas Tersedia,[]
Pura Kelapadua Depok,Pemakaman,"JVV3+PCG, Jl. Komjen. Pol. M. Jasin, Tugu, Kec. Cimanggis, Kota Depok, Jawa Barat 16451",,"4,0",4,,Tidak Ada ,Tidak Tersedia,-6.3556802,106.8535765,Aksesibilitas Tersedia,[]
Pura Amerta Jati,Pura,"Jl. Punak No.33, Pangkalan Jati, Kec. Cinere, Kota Depok, Jawa Barat 16514",Buka 24 jam,"4,7",189,"
(021) 7536003",Ada,Tidak Tersedia,-6.3221139,106.7841781,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Pura Tribhuana Agung,Pura,"Jl. Kerinci Raya No.10, Abadijaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16417",Buka 24 jam,"4,9",51,,Tidak Ada ,Tidak Tersedia,-6.395067,106.853516,Aksesibilitas Tersedia,[]
Pura Prajapati Purna Pralina ᬧᬸᬭᬧ᭄ᬭᬚᬧᬢᬶᬧᬸᬃᬦᬧ᭄ᬭᬮᬶᬦ᭟,Pura,"Jl. Menpor Pal Sigunung No.87, Tugu, Kec. Cimanggis, Kota Depok, Jawa Barat 16451",Buka 24 jam,"4,6",79,,Tidak Ada ,Tidak Tersedia,-6.3560554,106.8535152,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami' Suhara,Masjid,"3W39+H77, Sindangsari, Kec. Lembursitu, Kota Sukabumi, Jawa Barat 43167",,"5,0",3,,Tidak Ada ,Tidak Tersedia,-6.946092,106.9181611,Aksesibilitas Tersedia,[]
MASJID ALMULK Masjid Peradaban Islam,Masjid,"Sudajaya Hilir, Kec. Baros, Kota Sukabumi, Jawa Barat 43161",Buka 24 jam,"4,7",63,"
0857-9486-0994",Ada,Tidak Tersedia,-6.9493546,106.925042,Aksesibilitas Tersedia,['Memiliki pintu masuk khusus pengguna kursi roda']
Masjid Jami Qubatulmu'minin,Masjid,"2VXV+9PH, Gn. Guruh, Kec. Gn. Guruh, Kabupaten Sukabumi, Jawa Barat 43156",,"3,7",3,,Tidak Ada ,Tidak Tersedia,-6.9515642,106.8943719,Aksesibilitas Tersedia,[]
Masjid Muhanna Al-Muhanna,Masjid,"3W5J+JCV, Citamiang, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43143",Buka 24 jam,"4,8",10,"
0813-1204-1750",Ada,Tidak Tersedia,-6.9408783,106.9310517,Aksesibilitas Tersedia,[]
Masjid Al-Istiqomah,Masjid,"Jl. Raya Cemerlang No.42-48, Dayeuhluhur, Kec. Warudoyong, Kabupaten Sukabumi, Jawa Barat 43134",,,,,Tidak Ada ,Tidak Tersedia,-6.9473234,106.9120477,Aksesibilitas Tersedia,[]
Masjid Al Ikhlas,Masjid,"3WHM+93F, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",,"4,7",25,,Tidak Ada ,Tidak Tersedia,-6.9215513,106.9326687,Aksesibilitas Tersedia,[]
Masjid Jami Al-Muhajirin,Masjid,"Perumahan Bumi Purnawira, RW. 05, Cipanengah, Lembursitu, Cipanengah, Sukabumi, Kota Sukabumi, Jawa Barat 43134",04.00 hingga 21.15,"4,6",47,,Tidak Ada ,Tidak Tersedia,-6.9636889,106.9087566,Aksesibilitas Tersedia,[]
Masjid Ibnu Sina,Masjid,"3WHV+FR7, Subangjaya, Kec. Cikole, Kota Sukabumi, Jawa Barat 43116",Buka 24 jam,"4,5",28,,Tidak Ada ,Tidak Tersedia,-6.9213301,106.9445449,Aksesibilitas Tersedia,[]
Masjid Makaarimul Akhlaq,Masjid,"3W47+9MX, Dayeuhluhur, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43134",Buka 24 jam,"4,9",69,,Tidak Ada ,Tidak Tersedia,-6.9440125,106.9142344,Aksesibilitas Tersedia,[]
Masjid Raya Al-Muttaqin,Masjid,"3WQF+VPQ, Komplek Setukpa Polri, Jl. Bhayangkara, Karamat, Kab. Sukabumi, Kota Sukabumi, Jawa Barat 43122",Buka 24 jam,"4,8",211,,Tidak Ada ,Tidak Tersedia,-6.9102967,106.9243691,Aksesibilitas Tersedia,[]
Masjid/Mushollah,Masjid,"2WV4+WWG, Cipanengah, Kec. Lembursitu, Kota Sukabumi, Jawa Barat 43134",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.9551822,106.9073194,Aksesibilitas Tersedia,[]
Masjid AL MUNAJAT,Masjid,"3W3F+XGW, Cikondang, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43142",,"5,0",3,,Tidak Ada ,Tidak Tersedia,-6.9450025,106.9238158,Aksesibilitas Tersedia,[]
Masjid Raya Baiturrahim,Masjid,"2WXJ+92R, Jayamekar, Kec. Baros, Kota Sukabumi, Jawa Barat 43166",Buka 24 jam,"4,8",331,,Tidak Ada ,Tidak Tersedia,-6.9515221,106.9300077,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Masjid Al Falah,Masjid,"2WRQ+4C2, Sukakarya, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43135",,"5,0",10,,Tidak Ada ,Tidak Tersedia,-6.9597482,106.9385261,Aksesibilitas Tersedia,[]
Masjid Al-Jannatulbaiti Sudarsih,Masjid,"3W46+V9G, Jl. Sejahtera kp.pasirkaliki, RT.01/RW.20, Dayeuhluhur, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43134",,"4,0",1,"
0857-2433-2641",Ada,Tidak Tersedia,-6.9428017,106.910955,Aksesibilitas Tersedia,[]
Masjid Nurul Huda,Masjid,"3W36+382, Dayeuhluhur, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43134",,,,,Tidak Ada ,Tidak Tersedia,-6.9473719,106.9107688,Aksesibilitas Tersedia,[]
Masjid Al-barokah,Masjid,"3W4F+RQ9, Cikondang, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43142",,"5,0",7,,Tidak Ada ,Tidak Tersedia,-6.9429633,106.9244938,Aksesibilitas Tersedia,[]
Masjid Jami Nurul Amal,Masjid,"3W7P+V28, Gg. Moh. Nurul Amal, Nanggeleng, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43145",,"4,9",15,,Tidak Ada ,Tidak Tersedia,-6.9353465,106.9350848,Aksesibilitas Tersedia,[]
Masjid Al-Amanah,Masjid,"Jl. Kenari No.2, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 43114",Buka 24 jam,"4,9",9,,Tidak Ada ,Tidak Tersedia,-6.9145847,106.9300793,Aksesibilitas Tersedia,[]
Masjid Bahrul Ulum,Masjid,"3W6J+9FF, Jl. RH. Didi Sukardi, Citamiang, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43143",Buka 24 jam,"4,8",43,,Tidak Ada ,Tidak Tersedia,-6.9390659,106.9311563,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid/Mushollah Lembur Tipar,Masjid,"2VPR+GMJ, Jl. Lembur Situ, Lembursitu, Kec. Lembursitu, Kota Sukabumi, Jawa Barat 43169",,"3,0",1,,Tidak Ada ,Tidak Tersedia,-6.9636593,106.891629,Aksesibilitas Tersedia,[]
Nama adik kota Sukabumi masjid agung kota Sukabumi,Masjid,"3W8C+3GW, Jl. Pabuaran, Dayeuhluhur, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43131",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.9347564,106.9213794,Aksesibilitas Tersedia,[]
Masjid Jami' Nurul Hidayah,Masjid,"2WXH+QHP, Jl. Sudajaya Hilir, Jayaraksa, Kec. Baros, Kota Sukabumi, Jawa Barat 43144",,"4,0",3,,Tidak Ada ,Tidak Tersedia,-6.9505347,106.9289673,Aksesibilitas Tersedia,[]
Sukabumi,Masjid,"3WCH+WX4, Tipar, Kec. Citamiang, Kota Sukabumi, Jawa Barat",,"4,0",2,,Tidak Ada ,Tidak Tersedia,-6.9277361,106.9299579,Aksesibilitas Tersedia,[]
Masjid Jamie Al-Khodijah,Masjid,"3W6C+FWJ, Jl. Dayeuh Luhur, Dayeuhluhur, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43131",,"5,0",3,,Tidak Ada ,Tidak Tersedia,-6.9387889,106.9222646,Aksesibilitas Tersedia,[]
Masjid Jami Nurul Huda,Masjid,"Dayeuhluhur, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43134",,"4,6",144,,Tidak Ada ,Tidak Tersedia,-6.9467503,106.9151064,Aksesibilitas Tersedia,[]
Masjid Jami Daruttaqwa,Masjid,"3W5J+RQ3, Gedongpanjang, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43144",04.30 hingga 20.45,"4,0",4,,Tidak Ada ,Tidak Tersedia,-6.9404853,106.9319349,Aksesibilitas Tersedia,[]
Gedung Dakwah PCNU Kota Sukabumi,Masjid,"Jl. Cipanas 2 No.1, RT.03, Gedongpanjang, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43144",,"4,7",18,,Tidak Ada ,Tidak Tersedia,-6.9487315,106.9276665,Aksesibilitas Tersedia,[]
Masjid Assa'adah,Masjid,"Jl. Cikujang No.130, Dayeuhluhur, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43134",,"4,5",11,,Tidak Ada ,Tidak Tersedia,-6.9418479,106.9166886,Aksesibilitas Tersedia,[]
Masjid Jamie Al - Mahfudziyyah,Masjid,"Gg. Ampera No.12, Cisarua, Kec. Cikole, Kota Sukabumi, Jawa Barat 43115",04.00 hingga 21.15,"4,5",17,,Tidak Ada ,Tidak Tersedia,-6.9240193,106.9383737,Aksesibilitas Tersedia,[]
GG masjid attawaqal,Masjid,"2WP8+FWH, Jl. Cicadas, Sudajaya Hilir, Kec. Baros, Kota Sukabumi, Jawa Barat",,,,,Tidak Ada ,Tidak Tersedia,-6.9638027,106.9173645,Aksesibilitas Tersedia,[]
Masjid Kemenag Kab Sukabumi,Masjid,"2VRV+C64, Lembursitu, Kec. Lembursitu, Kota Sukabumi, Jawa Barat 43169",,"4,7",29,"
0815-6330-3550",Ada,Tidak Tersedia,-6.9589809,106.8930632,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Qubbatul Islam Cicadas Hilir,Masjid,"2WJC+3PF, Cikundul, Kec. Lembursitu, Kota Sukabumi, Jawa Barat",04.00 hingga 21.15,"4,7",15,,Tidak Ada ,Tidak Tersedia,-6.9698171,106.9218009,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
MASJID AL-MUHAJIRIN,Masjid,"3W3M+WR6, Gedongpanjang, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43144",,"4,9",24,,Tidak Ada ,Tidak Tersedia,-6.9452035,106.9345101,Aksesibilitas Tersedia,[]
MASJID JAMIE AL INAYAH,Masjid,"2WRG+6HF, Jayamekar, Kec. Baros, Kota Sukabumi, Jawa Barat 43166",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.95944,106.9264269,Aksesibilitas Tersedia,[]
Masjid Nurul Huda Al-Bawazir,Masjid,"Kp. Sudajaya, Gg. Sumirat, RT.006/RW.003, Jayaraksa, Kec. Baros, Kota Sukabumi, Jawa Barat 43195",Buka 24 jam,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.9572054,106.9327327,Aksesibilitas Tersedia,"['Dilengkapi dengan sistem bantu dengar', 'Tidak memiliki kursi khusus pengguna kursi roda', 'Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Al-Khoirot,Masjid,"Jl. Cikujang No.20, Dayeuhluhur, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43134",,"4,6",5,,Tidak Ada ,Tidak Tersedia,-6.9422615,106.9194911,Aksesibilitas Tersedia,[]
Masjid Jami' Al Kautsar,Masjid,"3W9C+R22, Jl. Pabuaran, Nyomplong, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43111",04.00 hingga 21.15,"5,0",11,,Tidak Ada ,Tidak Tersedia,-6.9304983,106.9200014,Aksesibilitas Tersedia,[]
Masjid IBADURRAHMAN,Masjid,"2WQG+522, Jayamekar, Kec. Baros, Kota Sukabumi, Jawa Barat 43166",,"4,6",22,,Tidak Ada ,Tidak Tersedia,-6.9621223,106.9250166,Aksesibilitas Tersedia,[]
Masjid Jami Asy-Syarifiah,Masjid,"3WFC+5JR, Gg. Masjid, Nyomplong, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43131",Buka 24 jam,"4,8",25,,Tidak Ada ,Tidak Tersedia,-6.9270183,106.9215152,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami At Taqwa,Masjid,"3W69+8H4, Dayeuhluhur, Kec. Warudoyong, Kabupaten Sukabumi, Jawa Barat 43291",Buka 24 jam,"4,9",14,,Tidak Ada ,Tidak Tersedia,-6.9392478,106.9189665,Aksesibilitas Tersedia,['Tidak memiliki tempat parkir khusus pengguna kursi roda']
Masjid Jami Bahrul Hamid,Masjid,"Jalan Pelabuhan II Km 4, Cipanengah, Lembursitu, Dayeuhluhur, Kec. Warudoyong, Kabupaten Sukabumi, Jawa Barat 43134",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.9515808,106.9122805,Aksesibilitas Tersedia,[]
Masjid Jami Nurul Mu'minin,Masjid,"2WWG+7XQ, Jl. Tatanugraha, Jayamekar, Kec. Baros, Kota Sukabumi, Jawa Barat 43166",Buka 24 jam,"4,8",14,,Tidak Ada ,Tidak Tersedia,-6.9542839,106.9274738,Aksesibilitas Tersedia,[]
Masjid Al Barokah,Masjid,"2VQR+6PP, Jl. Lembur Situ, Lembursitu, Kec. Lembursitu, Kota Sukabumi, Jawa Barat 43169",,"4,6",11,,Tidak Ada ,Tidak Tersedia,-6.9619101,106.89182,Aksesibilitas Tersedia,[]
Masjid Besar Assalam Karangtengah Cibadak,Masjid,"4R37+F74, Unnamed Road, Karangtengah, Karangtengah, Kec. Cibadak, Kabupaten Sukabumi, Jawa Barat 43351",Buka 24 jam,"4,7",216,,Ada,Tidak Tersedia,-6.8960063,106.8133343,Aksesibilitas Tersedia,[]
Masjid Ar-Rahma SMAN 1 Sukabumi,Masjid,"3W6H+MV6, Citamiang, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43143",06.00 hingga 17.25,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.9385007,106.9298914,Aksesibilitas Tersedia,[]
Masjid At-Taufik,Masjid,"3W5F+GCH, Cikondang, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43142",,"4,7",3,,Tidak Ada ,Tidak Tersedia,-6.9411959,106.9236057,Aksesibilitas Tersedia,[]
Masjid Jami Al-Muqorrobin,Masjid,"3W5M+9FM, Jl. Letda T. Asmita, Gedongpanjang, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43144",,"4,7",23,,Tidak Ada ,Tidak Tersedia,-6.941539,106.9336592,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Raya Raudhatul Irfan,Masjid,"Jl. Nasional III, seberang, Cibolang Kaler, Kec. Cisaat, Kabupaten Sukabumi, Jawa Barat 43152",Buka 24 jam,"4,7",1.41,,Ada,Tersedia,-6.9058296,106.8733199,Aksesibilitas Tersedia,[]
Masjid Bantuan Kerajaan Saudi,Masjid,"2WVC+3XV, Sudajaya Hilir, Kec. Baros, Kota Sukabumi, Jawa Barat 43167",,"5,0",5,,Tidak Ada ,Tidak Tersedia,-6.9572558,106.9224211,Aksesibilitas Tersedia,[]
Masjid Al Huda,Masjid,"kp cigadog Jl. Cikujang No.rt03rw11, Dayeuhluhur, Kec. Warudoyong, Kabupaten Sukabumi, Jawa Barat 43134",04.30 hingga 20.00,"5,0",2,,Tidak Ada ,Tidak Tersedia,-6.9412379,106.9173749,Aksesibilitas Tersedia,[]
Masjid Jami Al Ikhlas,Masjid,"2VPR+GMJ, Jl. Lembur Situ, Lembursitu, Kec. Lembursitu, Kota Sukabumi, Jawa Barat 43169",,"5,0",2,,Tidak Ada ,Tidak Tersedia,-6.9636583,106.8916284,Aksesibilitas Tersedia,[]
Masjid Jami Darussalam,Masjid,"Gg. Semar Babakan No.RT.02/03, Caringin, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43143",,"4,8",13,,Tidak Ada ,Tidak Tersedia,-6.934941,106.9308132,Aksesibilitas Tersedia,[]
Masjid Al Maimunah,Masjid,"3W6C+5W4, Dayeuhluhur, Kec. Warudoyong, Kota Sukabumi, Jawa Barat",04.00 hingga 21.15,"4,5",6,,Tidak Ada ,Tidak Tersedia,-6.9396187,106.922336,Aksesibilitas Tersedia,[]
Masjid Jami Al - Ikhwan Karanggantung,Masjid,"Jl. Pajajaran No.9, Gn. Guruh, Kec. Gn. Guruh, Kabupaten Sukabumi, Jawa Barat 43156",Buka 24 jam,"5,0",4,,Tidak Ada ,Tidak Tersedia,-6.9555273,106.8880221,Aksesibilitas Tersedia,[]
Mushola Albarokah,Masjid,"2WQ2+5FP, Jl. Jeruk Nyelap, Situmekar, Kec. Lembursitu, Kota Sukabumi, Jawa Barat 43169",,"4,6",37,,Tidak Ada ,Tidak Tersedia,-6.9620424,106.9012145,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid ahidayah,Masjid,"3W2H+JG2, Jl. lamping, Gedongpanjang, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43144",,"5,0",4,,Tidak Ada ,Tidak Tersedia,-6.9484957,106.9287775,Aksesibilitas Tersedia,[]
Masjid Besar Al Muhajirin,Masjid,"3W5R+H9G, Limusnunggal, Kec. Cibeureum, Kota Sukabumi, Jawa Barat 43165",09.00 hingga 17.00,"4,8",120,,Tidak Ada ,Tidak Tersedia,-6.9409651,106.9409843,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Jami' Baitul Quddus,Masjid,"3W6G+P26, Cikondang, Kec. Citamiang, Kota Sukabumi, Jawa Barat 43141",,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.9382198,106.9250299,Aksesibilitas Tersedia,[]
Masjid Darussalam,Masjid,"Gang Juli, Rw 09, Cikole, Cisarua, Kab. Sukabumi, Kota Sukabumi, Jawa Barat 43115",,"4,6",19,,Tidak Ada ,Tidak Tersedia,-6.9218631,106.9381102,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Jamie Al-Latief,Masjid,"Jl. Syamsudin. SH Gg. Adireja No.38, Cikole, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",Buka 24 jam,"4,7",75,,Tidak Ada ,Tidak Tersedia,-6.9184849,106.9328797,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Abu Bakar Siddiq,Masjid,"3WQ6+7FJ, Karang Tengah, Kec. Gunungpuyuh, Kabupaten Sukabumi, Jawa Barat 43121",,"4,8",28,,Tidak Ada ,Tidak Tersedia,-6.9117891,106.9111408,Aksesibilitas Tersedia,[]
Masjid,Masjid,"2WQ5+RGM, Jl. Merdeka, Cipanengah, Kec. Lembursitu, Kota Sukabumi, Jawa Barat 43134",,"3,0",1,,Tidak Ada ,Tidak Tersedia,-6.9603719,106.9085756,Aksesibilitas Tersedia,[]
Masjid Fatimatuz zahra,Masjid,"Babakan, Neglasari, Jayamekar, Kec. Baros, Kota Sukabumi, Jawa Barat 43166",09.00 hingga 17.00,"5,0",2,,Tidak Ada ,Tidak Tersedia,-6.9601875,106.9268125,Aksesibilitas Tersedia,[]
Masjid Qubbatul Muslimin,Masjid,"3XMC+4RJ, Sukaraja, Kec. Sukaraja, Kabupaten Sukabumi, Jawa Barat",04.00 hingga 21.15,"4,7",133,,Tidak Ada ,Tidak Tersedia,-6.9171605,106.9720158,Aksesibilitas Tersedia,[]
Masjid Jamie AL-Maqbuliyyah,Masjid,"2WP2+Q5H, Situmekar, Kec. Lembursitu, Kota Sukabumi, Jawa Barat 43169",Buka 24 jam,"4,0",3,,Tidak Ada ,Tidak Tersedia,-6.9630616,106.9004807,Aksesibilitas Tersedia,[]
Masjid An Nuur,Masjid,"3WHP+8MP, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113",,"4,7",64,,Tidak Ada ,Tidak Tersedia,-6.9216617,106.9366995,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Assholihin,Masjid,"2WVM+H6V, Jayaraksa, Kec. Baros, Kota Sukabumi, Jawa Barat 43166",,"4,5",2,,Tidak Ada ,Tidak Tersedia,-6.9560084,106.9330487,Aksesibilitas Tersedia,[]
Masjid Jami Tijanul Anwar,Masjid,"Jl. Surya Kencana No.31, Selabatu, Kec. Cikole, Kota Sukabumi, Jawa Barat 35226",04.00 hingga 21.15,"4,7",293,"
0857-2476-0404",Ada,Tidak Tersedia,-6.917039,106.9294458,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
MASJID JAMI' BAITURRAHMAN CIKUNDUL KOTA SUKABUMI,Masjid,"Cikundul, Kec. Lembursitu, Kota Sukabumi, Jawa Barat 43168",Buka 24 jam,,,,Tidak Ada ,Tidak Tersedia,-6.9759213,106.9050488,Aksesibilitas Tersedia,[]
